name,post_code,website,factual_id,latitude,longitude,region,locality,address,tel,chain_name,country,category_labels
McDonald's,92122,http://www.mcdonalds.com,9211dd0d-8842-4f96-8068-9cbe9e6883ca,32.866822,-117.215361,CA,San Diego,4260 Nobel Dr,(858) 452-3014,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,32830,http://www.mcdonalds.com,4f2305c5-97c8-4b9f-a249-7c3e535c1e1a,28.348815,-81.576832,FL,Lake Buena Vista,1596 W Buena Vista Dr,(407) 939-0875,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,30080,http://www.mcdonalds.com,d9766b13-38e3-4024-a278-a381838883bd,33.883869,-84.476519,GA,Smyrna,2591 Spring Rd SE,(770) 432-0374,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,46202,http://www.mcdonalds.com,f0effc1a-2073-4a6f-84c7-48890a5a8d2f,39.789044,-86.15696,IN,Indianapolis,1611 N Meridian St,(317) 920-1258,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,7424,http://www.mcdonalds.com,29342883-a8a6-485c-878c-d62ff79b36c8,40.872357,-74.194749,NJ,Little Falls,405 US Highway 46,(973) 256-5318,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,60523,http://www.mcdonalds.com,29fc2e0a-7bd6-41c9-9a97-625c05460586,41.847713,-87.947594,IL,Oak Brook,1120 W 22nd St,(630) 368-1173,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,55414,http://www.mcdonalds.com,1cecb64c-0c86-4512-b605-d9c147cc1c1b,44.9803,-93.234593,MN,Minneapolis,407 15th Ave SE,(612) 331-6590,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,96816,http://www.mcdonalds.com,0aafa6e9-00b9-41be-a725-8c76a0f03843,21.2869,-157.806444,HI,Honolulu,3254 Waialae Ave,(808) 733-1540,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,92802,http://www.mcdonalds.com,4cdb1a4d-b00e-4110-b172-d0d495d13220,33.810914,-117.914734,CA,Anaheim,1500 S Harbor Blvd,(714) 491-0563,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,33617,http://www.mcdonalds.com,7970adab-2971-42e6-97ad-1a85fd0f8ff9,28.055379,-82.393036,FL,Temple Terrace,11707 N 56th St,(813) 988-1823,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,94112,http://www.mcdonalds.com,c31443ad-3385-4219-ab4c-b20e0ecf71d7,37.723496,-122.455482,CA,San Francisco,1201 Ocean Ave,(415) 585-8697,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,94117,http://www.mcdonalds.com,4f5a18ed-e757-4178-864c-67a0aae6e357,37.769038,-122.453206,CA,San Francisco,730 Stanyan St,(415) 668-4445,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,30308,http://www.mcdonalds.com,72feb7f1-d9bc-4c7e-b4e2-fe24a70d6db4,33.774297,-84.369589,GA,Atlanta,526 Ponce De Leon Ave NE,(404) 874-7848,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,53005,http://www.mcdonalds.com,f4121736-b83d-40e6-8b1b-360c83a2dd15,43.033913,-88.106126,WI,Brookfield,300 N Moorland Rd,(262) 782-2280,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,65201,http://www.mcdonalds.com,425eed46-a2df-4056-90d5-6b651dd0bf51,38.909529,-92.33272,MO,Columbia,500 E Nifong Blvd,(573) 442-2433,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,34747,http://www.mcdonalds.com,f33cc671-98f5-47c2-b63c-9ecc50362f18,28.346158,-81.628782,FL,Kissimmee,8530 W Irlo Bronson Memorial Hwy,(407) 396-8082,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
McDonald's,92101,http://www.mcdonalds.com,0a9e1d25-028c-42a3-82d5-2bbe942b2261,32.718686,-117.154087,CA,San Diego,1280 Park Blvd,(619) 234-4700,McDonald's,us,"Social, Food and Dining, Restaurants, Burgers"
