zip,lat,lng,city,state
926,18.3462,-66.0524,San Juan,PR
927,18.3888,-66.0719,San Juan,PR
928,18.4084,-66.0644,San Juan,PR
929,18.4084,-66.0644,San Juan,PR
930,18.4084,-66.0644,San Juan,PR
931,18.4084,-66.0644,San Juan,PR
933,18.4084,-66.0644,San Juan,PR
934,18.4114,-66.124,Fort Buchanan,PR
935,18.4084,-66.0644,San Juan,PR
936,18.3955,-66.0738,San Juan,PR
937,18.4084,-66.0644,San Juan,PR
939,18.4084,-66.0644,San Juan,PR
940,18.4084,-66.0644,San Juan,PR
949,18.4302,-66.2088,Toa Baja,PR
950,18.4621,-66.2376,Toa Baja,PR
951,18.4284,-66.2566,Toa Baja,PR
952,18.4275,-66.1821,Sabana Seca,PR
953,18.3631,-66.2475,Toa Alta,PR
954,18.3901,-66.2501,Toa Alta,PR
955,18.4084,-66.0644,San Juan,PR
956,18.3208,-66.1717,Bayamon,PR
957,18.3673,-66.1887,Bayamon,PR
958,18.2805,-66.1388,Bayamon,PR
959,18.3849,-66.1559,Bayamon,PR
960,18.417,-66.1446,Bayamon,PR
961,18.4101,-66.1655,Bayamon,PR
962,18.439,-66.1392,Catano,PR
963,18.4349,-66.119,Catano,PR
965,18.4337,-66.1148,Guaynabo,PR
966,18.4024,-66.1177,Guaynabo,PR
968,18.4061,-66.1012,Guaynabo,PR
969,18.3675,-66.1085,Guaynabo,PR
970,18.3864,-66.1143,Guaynabo,PR
971,18.3211,-66.1181,Guaynabo,PR
975,18.4084,-66.0644,San Juan,PR
976,18.3385,-65.9921,Trujillo Alto,PR
977,18.363,-66.0176,Trujillo Alto,PR
978,18.3702,-66.0101,Saint Just,PR
979,18.4365,-66.0169,Carolina,PR
981,18.4084,-65.9811,Carolina,PR
982,18.4099,-65.9917,Carolina,PR
983,18.4179,-65.9763,Carolina,PR
984,18.4084,-65.9811,Carolina,PR
985,18.4082,-65.9485,Carolina,PR
986,18.4084,-65.9811,Carolina,PR
987,18.3393,-65.9431,Carolina,PR
988,18.4084,-65.9811,Carolina,PR
1001,42.0626,-72.6259,Agawam,MA
1002,42.3749,-72.4621,Amherst,MA
1003,42.3919,-72.5248,Amherst,MA
1004,42.3751,-72.52,Amherst,MA
1005,42.4201,-72.1061,Barre,MA
1007,42.2787,-72.4003,Belchertown,MA
1008,42.1843,-72.952,Blandford,MA
1009,42.2095,-72.3396,Bondsville,MA
1010,42.1286,-72.2062,Brimfield,MA
1011,42.292,-72.9594,Chester,MA
1012,42.387,-72.8463,Chesterfield,MA
1013,42.1595,-72.6082,Chicopee,MA
1014,42.1759,-72.5731,Chicopee,MA
1020,42.1764,-72.5653,Chicopee,MA
1021,42.1759,-72.5731,Chicopee,MA
1022,42.1973,-72.5427,Chicopee,MA
1026,42.4633,-72.9203,Cummington,MA
1027,42.2951,-72.7431,Easthampton,MA
1028,42.0597,-72.4991,East Longmeadow,MA
1029,42.1963,-73.0484,East Otis,MA
1030,42.0689,-72.68,Feeding Hills,MA
1031,42.3294,-72.1983,Gilbertville,MA
1032,42.4525,-72.81,Goshen,MA
1033,42.2608,-72.5036,Granby,MA
1034,42.0849,-72.9576,Granville,MA
1035,42.3556,-72.5692,Hadley,MA
1036,42.0638,-72.4157,Hampden,MA
1037,42.3676,-72.1888,Hardwick,MA
1038,42.3855,-72.607,Hatfield,MA
1039,42.4063,-72.6937,Haydenville,MA
1040,42.2126,-72.6411,Holyoke,MA
1041,42.2135,-72.6424,Holyoke,MA
1050,42.2879,-72.8699,Huntington,MA
1053,42.3535,-72.7109,Leeds,MA
1054,42.4736,-72.4875,Leverett,MA
1056,42.1922,-72.458,Ludlow,MA
1057,42.0918,-72.3242,Monson,MA
1059,42.4092,-72.5218,North Amherst,MA
1060,42.3222,-72.6313,Northampton,MA
1061,42.3271,-72.6751,Northampton,MA
1062,42.3216,-72.6928,Florence,MA
1063,42.319,-72.639,Northampton,MA
1066,42.4076,-72.6548,North Hatfield,MA
1068,42.35,-72.0461,Oakham,MA
1069,42.1882,-72.3054,Palmer,MA
1070,42.5185,-72.9239,Plainfield,MA
1071,42.1604,-72.86,Russell,MA
1072,42.4574,-72.4184,Shutesbury,MA
1073,42.2308,-72.7386,Southampton,MA
1074,42.3865,-72.0944,South Barre,MA
1075,42.2567,-72.5792,South Hadley,MA
1077,42.0544,-72.7785,Southwick,MA
1079,42.1944,-72.3301,Thorndike,MA
1080,42.1821,-72.3657,Three Rivers,MA
1081,42.0623,-72.231,Wales,MA
1082,42.2948,-72.2778,Ware,MA
1083,42.2038,-72.1953,Warren,MA
1084,42.3903,-72.8809,West Chesterfield,MA
1085,42.1537,-72.7697,Westfield,MA
1086,42.1304,-72.7941,Westfield,MA
1088,42.3901,-72.6478,West Hatfield,MA
1089,42.1253,-72.6502,West Springfield,MA
1090,42.1232,-72.6531,West Springfield,MA
1092,42.1997,-72.2372,West Warren,MA
1093,42.4344,-72.653,Whately,MA
1094,42.3595,-72.1385,Wheelwright,MA
1095,42.1277,-72.43,Wilbraham,MA
1096,42.4024,-72.7685,Williamsburg,MA
1097,42.1768,-72.8327,Woronoco,MA
1098,42.3946,-72.9424,Worthington,MA
1101,42.115,-72.539,Springfield,MA
1102,42.115,-72.539,Springfield,MA
1103,42.104,-72.5921,Springfield,MA
1104,42.134,-72.5668,Springfield,MA
1105,42.0992,-72.579,Springfield,MA
1106,42.0479,-72.5718,Longmeadow,MA
1107,42.1213,-72.6055,Springfield,MA
1108,42.0805,-72.5599,Springfield,MA
1109,42.1184,-72.5488,Springfield,MA
1111,42.115,-72.539,Springfield,MA
1115,42.115,-72.539,Springfield,MA
1116,42.0478,-72.5701,Longmeadow,MA
1118,42.0948,-72.5253,Springfield,MA
1119,42.1245,-72.5112,Springfield,MA
1128,42.0949,-72.4881,Springfield,MA
1129,42.121,-72.4878,Springfield,MA
1138,42.115,-72.539,Springfield,MA
1139,42.115,-72.539,Springfield,MA
1144,42.115,-72.539,Springfield,MA
1151,42.1529,-72.5088,Indian Orchard,MA
1152,42.115,-72.539,Springfield,MA
1199,42.1207,-72.6045,Springfield,MA
1201,42.45,-73.2765,Pittsfield,MA
1202,42.4518,-73.2609,Pittsfield,MA
1203,42.4518,-73.2609,Pittsfield,MA
1220,42.6237,-73.1172,Adams,MA
1222,42.059,-73.3208,Ashley Falls,MA
1223,42.3118,-73.0995,Becket,MA
1224,42.5066,-73.1975,Berkshire,MA
1225,42.5624,-73.1556,Cheshire,MA
1226,42.4792,-73.15,Dalton,MA
1227,42.4742,-73.1617,Dalton,MA
1229,42.2778,-73.3311,Glendale,MA
1230,42.1848,-73.3436,Great Barrington,MA
1235,42.4298,-73.0724,Hinsdale,MA
1236,42.2666,-73.3767,Housatonic,MA
1237,42.5497,-73.2626,Lanesborough,MA
1238,42.2952,-73.2289,Lee,MA
1240,42.3721,-73.2764,Lenox,MA
1242,42.3333,-73.2492,Lenox Dale,MA
1243,42.3476,-73.0316,Middlefield,MA
1244,42.1161,-73.2627,Mill River,MA
1245,42.1881,-73.2189,Monterey,MA
1247,42.6955,-73.0799,North Adams,MA
1252,42.1751,-73.4408,North Egremont,MA
1253,42.2162,-73.1193,Otis,MA
1254,42.3798,-73.3655,Richmond,MA
1255,42.1083,-73.1229,Sandisfield,MA
1256,42.5963,-73.0196,Savoy,MA
1257,42.097,-73.3689,Sheffield,MA
1258,42.0976,-73.4663,South Egremont,MA
1259,42.0755,-73.2357,Southfield,MA
1260,42.2983,-73.3536,South Lee,MA
1262,42.2781,-73.3242,Stockbridge,MA
1263,42.3004,-73.326,Stockbridge,MA
1264,42.2341,-73.199,Tyringham,MA
1266,42.308,-73.3841,West Stockbridge,MA
1267,42.672,-73.239,Williamstown,MA
1270,42.5136,-73.0434,Windsor,MA
1301,42.624,-72.604,Greenfield,MA
1302,42.5893,-72.5989,Greenfield,MA
1330,42.5138,-72.8139,Ashfield,MA
1331,42.5673,-72.1829,Athol,MA
1337,42.6951,-72.5772,Bernardston,MA
1338,42.5736,-72.8214,Buckland,MA
1339,42.608,-72.8901,Charlemont,MA
1340,42.6833,-72.7185,Colrain,MA
1341,42.5045,-72.7051,Conway,MA
1342,42.5445,-72.6059,Deerfield,MA
1343,42.6544,-72.9811,Drury,MA
1344,42.6077,-72.4291,Erving,MA
1346,42.6889,-72.8175,Heath,MA
1347,42.5614,-72.517,Lake Pleasant,MA
1349,42.5726,-72.4832,Millers Falls,MA
1350,42.7226,-72.9824,Monroe Bridge,MA
1351,42.5429,-72.5191,Montague,MA
1354,42.6338,-72.5111,Gill,MA
1355,42.4529,-72.3305,New Salem,MA
1360,42.6758,-72.446,Northfield,MA
1364,42.6129,-72.2924,Orange,MA
1366,42.4805,-72.1878,Petersham,MA
1367,42.6958,-72.9118,Rowe,MA
1368,42.6808,-72.186,Royalston,MA
1370,42.5966,-72.7286,Shelburne Falls,MA
1373,42.4729,-72.6156,South Deerfield,MA
1375,42.4651,-72.5546,Sunderland,MA
1376,42.5954,-72.5557,Turners Falls,MA
1378,42.6748,-72.3458,Warwick,MA
1379,42.5528,-72.4025,Wendell,MA
1380,42.5815,-72.3789,Wendell Depot,MA
1420,42.5858,-71.8166,Fitchburg,MA
1430,42.6602,-71.9237,Ashburnham,MA
1431,42.6765,-71.8232,Ashby,MA
1432,42.5647,-71.5714,Ayer,MA
1434,42.5385,-71.6115,Devens,MA
1436,42.6055,-72.0885,Baldwinville,MA
1438,42.5616,-72.0309,East Templeton,MA
1440,42.5873,-71.9862,Gardner,MA
1441,42.5841,-71.9862,Westminster,MA
1450,42.6137,-71.5614,Groton,MA
1451,42.5012,-71.5738,Harvard,MA
1452,42.4838,-72.0051,Hubbardston,MA
1453,42.5186,-71.7614,Leominster,MA
1460,42.535,-71.4891,Littleton,MA
1462,42.5897,-71.7199,Lunenburg,MA
1463,42.6713,-71.6043,Pepperell,MA
1464,42.5734,-71.6484,Shirley,MA
1467,42.4878,-71.6173,Still River,MA
1468,42.5521,-72.0689,Templeton,MA
1469,42.6667,-71.694,Townsend,MA
1470,42.6064,-71.5715,Groton,MA
1471,42.6064,-71.5715,Groton,MA
1472,42.6149,-71.6225,West Groton,MA
1473,42.5512,-71.9026,Westminster,MA
1474,42.6678,-71.7522,West Townsend,MA
1475,42.6667,-72.049,Winchendon,MA
1501,42.1972,-71.8453,Auburn,MA
1503,42.3838,-71.6355,Berlin,MA
1504,42.0399,-71.5311,Blackstone,MA
1505,42.3563,-71.7212,Boylston,MA
1506,42.1936,-72.1045,Brookfield,MA
1507,42.1351,-71.968,Charlton,MA
1508,42.1338,-71.9689,Charlton City,MA
1509,42.1338,-71.9689,Charlton Depot,MA
1510,42.4119,-71.6888,Clinton,MA
1515,42.2032,-72.0467,East Brookfield,MA
1516,42.0528,-71.7509,Douglas,MA
1518,42.1235,-72.1186,Fiskdale,MA
1519,42.201,-71.6801,Grafton,MA
1520,42.3354,-71.8528,Holden,MA
1521,42.0601,-72.166,Holland,MA
1522,42.3814,-71.8691,Jefferson,MA
1523,42.4795,-71.6785,Lancaster,MA
1524,42.2492,-71.9198,Leicester,MA
1525,42.1068,-71.6324,Linwood,MA
1526,42.1256,-71.76,Manchaug,MA
1527,42.1922,-71.7742,Millbury,MA
1529,42.039,-71.5775,Millville,MA
1531,42.3193,-72.128,New Braintree,MA
1532,42.3231,-71.6462,Northborough,MA
1534,42.1407,-71.6426,Northbridge,MA
1535,42.2695,-72.0779,North Brookfield,MA
1536,42.2324,-71.691,North Grafton,MA
1537,42.1616,-71.8915,North Oxford,MA
1538,42.0588,-71.6416,North Uxbridge,MA
1540,42.1163,-71.8573,Oxford,MA
1541,42.4565,-71.8813,Princeton,MA
1542,42.2019,-71.9108,Rochdale,MA
1543,42.3848,-71.9673,Rutland,MA
1545,42.2843,-71.7155,Shrewsbury,MA
1546,42.3,-71.7167,Shrewsbury,MA
1550,42.0604,-72.0338,Southbridge,MA
1560,42.175,-71.6775,South Grafton,MA
1561,42.4423,-71.6834,South Lancaster,MA
1562,42.2471,-71.9919,Spencer,MA
1564,42.4412,-71.773,Sterling,MA
1566,42.1024,-72.0812,Sturbridge,MA
1568,42.177,-71.6046,Upton,MA
1569,42.0587,-71.6371,Uxbridge,MA
1570,42.052,-71.8485,Webster,MA
1571,42.055,-71.9352,Dudley,MA
1581,42.2681,-71.614,Westborough,MA
1583,42.3702,-71.785,West Boylston,MA
1585,42.2413,-72.1619,West Brookfield,MA
1586,42.1902,-71.7628,West Millbury,MA
1588,42.1201,-71.6689,Whitinsville,MA
1590,42.1339,-71.7508,Sutton,MA
1601,42.2696,-71.8089,Worcester,MA
1602,42.2722,-71.8495,Worcester,MA
1603,42.2441,-71.8444,Worcester,MA
1604,42.2515,-71.7677,Worcester,MA
1605,42.2895,-71.7875,Worcester,MA
1606,42.3144,-71.7956,Worcester,MA
1607,42.2274,-71.7887,Worcester,MA
1608,42.2619,-71.8016,Worcester,MA
1609,42.2864,-71.829,Worcester,MA
1610,42.2467,-71.8096,Worcester,MA
1611,42.2383,-71.8772,Cherry Valley,MA
1612,42.3104,-71.9308,Paxton,MA
1613,42.2696,-71.8089,Worcester,MA
1614,42.2696,-71.8089,Worcester,MA
1615,42.2696,-71.8089,Worcester,MA
1653,42.2696,-71.8089,Worcester,MA
1655,42.2696,-71.8089,Worcester,MA
1701,42.3217,-71.4382,Framingham,MA
1702,42.2822,-71.4339,Framingham,MA
1703,42.3059,-71.4379,Framingham,MA
1704,42.3059,-71.4379,Framingham,MA
1705,42.3059,-71.4379,Framingham,MA
1718,42.5197,-71.4295,Acton,MA
1719,42.4884,-71.5178,Boxborough,MA
1720,42.4842,-71.438,Acton,MA
1721,42.2573,-71.4687,Ashland,MA
1730,42.4969,-71.2784,Bedford,MA
1731,42.4567,-71.2795,Hanscom Afb,MA
1740,42.4362,-71.6073,Bolton,MA
1741,42.53,-71.3513,Carlisle,MA
1742,42.4623,-71.3643,Concord,MA
1745,42.2918,-71.5013,Fayville,MA
1746,42.1977,-71.445,Holliston,MA
1747,42.1248,-71.535,Hopedale,MA
1748,42.2255,-71.5378,Hopkinton,MA
1749,42.3887,-71.5465,Hudson,MA
1752,42.3494,-71.5468,Marlborough,MA
1754,42.4264,-71.4561,Maynard,MA
1756,42.093,-71.5515,Mendon,MA
1757,42.1566,-71.5189,Milford,MA
1760,42.2844,-71.3498,Natick,MA
1770,42.2342,-71.3753,Sherborn,MA
1772,42.3014,-71.5305,Southborough,MA
1773,42.4252,-71.3104,Lincoln,MA
1775,42.4298,-71.5114,Stow,MA
1776,42.3847,-71.4234,Sudbury,MA
1778,42.3583,-71.3592,Wayland,MA
1784,42.2395,-71.5587,Woodville,MA
1801,42.4869,-71.1543,Woburn,MA
1803,42.5022,-71.2026,Burlington,MA
1805,42.5031,-71.2021,Burlington,MA
1810,42.6465,-71.165,Andover,MA
1812,42.6553,-71.1431,Andover,MA
1813,42.4855,-71.1552,Woburn,MA
1815,42.4855,-71.1552,Woburn,MA
1821,42.5502,-71.2522,Billerica,MA
1822,42.55,-71.2667,Billerica,MA
1824,42.5911,-71.3556,Chelmsford,MA
1826,42.6832,-71.3006,Dracut,MA
1827,42.6764,-71.5005,Dunstable,MA
1830,42.7959,-71.0531,Haverhill,MA
1831,42.7843,-71.0862,Haverhill,MA
1832,42.791,-71.1313,Haverhill,MA
1833,42.724,-70.9821,Georgetown,MA
1834,42.752,-71.0148,Groveland,MA
1835,42.7529,-71.0859,Haverhill,MA
1840,42.7069,-71.1603,Lawrence,MA
1841,42.7108,-71.1651,Lawrence,MA
1842,42.7,-71.162,Lawrence,MA
1843,42.6898,-71.1611,Lawrence,MA
1844,42.734,-71.1889,Methuen,MA
1845,42.6714,-71.0866,North Andover,MA
1850,42.6557,-71.3029,Lowell,MA
1851,42.6281,-71.3356,Lowell,MA
1852,42.6323,-71.2953,Lowell,MA
1853,42.6387,-71.3221,Lowell,MA
1854,42.6491,-71.348,Lowell,MA
1860,42.8386,-71.0119,Merrimac,MA
1862,42.5749,-71.2934,North Billerica,MA
1863,42.6324,-71.3906,North Chelmsford,MA
1864,42.5815,-71.0875,North Reading,MA
1865,42.5499,-71.2507,Nutting Lake,MA
1866,42.5343,-71.2362,Pinehurst,MA
1867,42.535,-71.1056,Reading,MA
1876,42.6122,-71.2275,Tewksbury,MA
1879,42.6664,-71.4287,Tyngsboro,MA
1880,42.5023,-71.067,Wakefield,MA
1885,42.6788,-71.0302,West Boxford,MA
1886,42.5864,-71.4401,Westford,MA
1887,42.561,-71.1654,Wilmington,MA
1888,42.4855,-71.1552,Woburn,MA
1889,42.5667,-71.0667,North Reading,MA
1890,42.4518,-71.1463,Winchester,MA
1899,42.6553,-71.1431,Andover,MA
1901,42.461,-70.9464,Lynn,MA
1902,42.4708,-70.9399,Lynn,MA
1903,42.4742,-70.9625,Lynn,MA
1904,42.4915,-70.9727,Lynn,MA
1905,42.4662,-70.9759,Lynn,MA
1906,42.468,-71.0145,Saugus,MA
1907,42.4758,-70.9067,Swampscott,MA
1908,42.4293,-70.927,Nahant,MA
1910,42.4742,-70.9625,Lynn,MA
1913,42.853,-70.9446,Amesbury,MA
1915,42.5681,-70.8627,Beverly,MA
1921,42.6815,-71.0189,Boxford,MA
1922,42.7587,-70.9145,Byfield,MA
1923,42.5741,-70.9495,Danvers,MA
1929,42.6346,-70.7771,Essex,MA
1930,42.6259,-70.6897,Gloucester,MA
1931,42.6243,-70.6667,Gloucester,MA
1936,42.6167,-70.8667,Hamilton,MA
1937,42.5857,-70.9842,Hathorne,MA
1938,42.6836,-70.8429,Ipswich,MA
1940,42.5346,-71.0375,Lynnfield,MA
1944,42.5816,-70.7684,Manchester,MA
1945,42.4992,-70.8639,Marblehead,MA
1949,42.6043,-71.0165,Middleton,MA
1950,42.8124,-70.8879,Newburyport,MA
1951,42.778,-70.8498,Newbury,MA
1952,42.8465,-70.8616,Salisbury,MA
1960,42.5337,-70.9722,Peabody,MA
1961,42.5329,-70.9703,Peabody,MA
1965,42.5685,-70.8625,Prides Crossing,MA
1966,42.6547,-70.6233,Rockport,MA
1969,42.7212,-70.8929,Rowley,MA
1970,42.5123,-70.9052,Salem,MA
1971,42.5195,-70.8972,Salem,MA
1982,42.6267,-70.8579,South Hamilton,MA
1983,42.6372,-70.9426,Topsfield,MA
1984,42.6008,-70.8826,Wenham,MA
1985,42.7939,-70.9691,West Newbury,MA
2018,42.1756,-70.8896,Accord,MA
2019,42.0777,-71.4741,Bellingham,MA
2020,42.0863,-70.6417,Brant Rock,MA
2021,42.1752,-71.1265,Canton,MA
2025,42.236,-70.819,Cohasset,MA
2026,42.2467,-71.1778,Dedham,MA
2027,42.2466,-71.1792,Dedham,MA
2030,42.2366,-71.2842,Dover,MA
2032,42.1549,-71.2155,East Walpole,MA
2035,42.0627,-71.2461,Foxboro,MA
2038,42.0862,-71.4113,Franklin,MA
2040,42.1995,-70.7643,Greenbush,MA
2041,42.1085,-70.7141,Green Harbor,MA
2043,42.2168,-70.885,Hingham,MA
2044,42.2372,-70.8877,Hingham,MA
2045,42.283,-70.8743,Hull,MA
2047,42.1335,-70.6867,Humarock,MA
2048,42.0163,-71.2187,Mansfield,MA
2050,42.1149,-70.7147,Marshfield,MA
2051,42.1503,-70.73,Marshfield Hills,MA
2052,42.1848,-71.305,Medfield,MA
2053,42.1535,-71.429,Medway,MA
2054,42.1693,-71.3625,Millis,MA
2055,42.1995,-70.7643,Minot,MA
2056,42.1164,-71.3296,Norfolk,MA
2059,42.1085,-70.7141,North Marshfield,MA
2060,42.2122,-70.767,North Scituate,MA
2061,42.1608,-70.8177,Norwell,MA
2062,42.186,-71.1949,Norwood,MA
2065,42.1085,-70.7141,Ocean Bluff,MA
2066,42.2015,-70.7618,Scituate,MA
2067,42.1081,-71.1814,Sharon,MA
2070,42.0513,-71.3549,Sheldonville,MA
2071,42.1025,-71.2706,South Walpole,MA
2072,42.1192,-71.1019,Stoughton,MA
2081,42.1465,-71.2588,Walpole,MA
2090,42.2202,-71.2107,Westwood,MA
2093,42.0513,-71.3552,Wrentham,MA
2108,42.3577,-71.0651,Boston,MA
2109,42.3648,-71.053,Boston,MA
2110,42.3583,-71.0518,Boston,MA
2111,42.3501,-71.0591,Boston,MA
2112,42.3583,-71.0603,Boston,MA
2113,42.3653,-71.0553,Boston,MA
2114,42.3632,-71.0673,Boston,MA
2115,42.341,-71.0946,Boston,MA
2116,42.3505,-71.0756,Boston,MA
2117,42.3583,-71.0603,Boston,MA
2118,42.3382,-71.0708,Boston,MA
2119,42.3241,-71.0848,Roxbury,MA
2120,42.3321,-71.0964,Roxbury Crossing,MA
2121,42.3059,-71.0859,Dorchester,MA
2122,42.2946,-71.0518,Dorchester,MA
2123,42.3583,-71.0603,Boston,MA
2124,42.2857,-71.071,Dorchester Center,MA
2125,42.3154,-71.0559,Dorchester,MA
2126,42.2743,-71.0938,Mattapan,MA
2127,42.3348,-71.0393,Boston,MA
2128,42.3728,-71.0166,Boston,MA
2129,42.3798,-71.0617,Charlestown,MA
2130,42.3099,-71.1149,Jamaica Plain,MA
2131,42.2847,-71.1266,Roslindale,MA
2132,42.2802,-71.1615,West Roxbury,MA
2133,42.3583,-71.0603,Boston,MA
2134,42.3578,-71.1295,Allston,MA
2135,42.3498,-71.1539,Brighton,MA
2136,42.2554,-71.1293,Hyde Park,MA
2137,42.2542,-71.1283,Readville,MA
2138,42.3801,-71.1346,Cambridge,MA
